"ball","team","batsman","bowler","nonStriker","byes","legbyes","noballs","wides","nonBoundary","penalty","runs","extras","totalRuns","wicketFielder","wicketKind","wicketPlayerOut","replacementIn","replacementOut","replacementReason","replacementTeam","date","matchType","overs","venue","team1","team2","winner","result","gender"
"1st.0.1","Gujarat Titans","B Sai Sudharsan","Arshdeep Singh","Shubman Gill",0,0,0,0,0,0,1,0,1,"nobody","not-out","nobody","0","0","0","0",2026-03-31,"T20",20,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","Gujarat Titans","Punjab Kings","Punjab Kings","NA","male"
"1st.0.2","Gujarat Titans","Shubman Gill","Arshdeep Singh","B Sai Sudharsan",0,0,0,0,0,0,1,0,1,"nobody","not-out","nobody","0","0","0","0",2026-03-31,"T20",20,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","Gujarat Titans","Punjab Kings","Punjab Kings","NA","male"
"1st.0.3","Gujarat Titans","B Sai Sudharsan","Arshdeep Singh","Shubman Gill",0,0,0,1,0,0,0,1,1,"nobody","not-out","nobody","0","0","0","0",2026-03-31,"T20",20,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","Gujarat Titans","Punjab Kings","Punjab Kings","NA","male"
"1st.0.4","Gujarat Titans","B Sai Sudharsan","Arshdeep Singh","Shubman Gill",0,0,0,0,0,0,4,0,4,"nobody","not-out","nobody","0","0","0","0",2026-03-31,"T20",20,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","Gujarat Titans","Punjab Kings","Punjab Kings","NA","male"
"1st.0.5","Gujarat Titans","B Sai Sudharsan","Arshdeep Singh","Shubman Gill",0,0,0,0,0,0,0,0,0,"nobody","not-out","nobody","0","0","0","0",2026-03-31,"T20",20,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","Gujarat Titans","Punjab Kings","Punjab Kings","NA","male"
"1st.0.6","Gujarat Titans","B Sai Sudharsan","Arshdeep Singh","Shubman Gill",0,0,0,0,0,0,1,0,1,"nobody","not-out","nobody","0","0","0","0",2026-03-31,"T20",20,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","Gujarat Titans","Punjab Kings","Punjab Kings","NA","male"
"1st.0.7","Gujarat Titans","Shubman Gill","Arshdeep Singh","B Sai Sudharsan",0,0,0,0,0,0,1,0,1,"nobody","not-out","nobody","0","0","0","0",2026-03-31,"T20",20,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","Gujarat Titans","Punjab Kings","Punjab Kings","NA","male"
"1st.1.1","Gujarat Titans","Shubman Gill","XC Bartlett","B Sai Sudharsan",0,0,0,0,0,0,0,0,0,"nobody","not-out","nobody","0","0","0","0",2026-03-31,"T20",20,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","Gujarat Titans","Punjab Kings","Punjab Kings","NA","male"
"1st.1.2","Gujarat Titans","Shubman Gill","XC Bartlett","B Sai Sudharsan",0,0,0,0,0,0,4,0,4,"nobody","not-out","nobody","0","0","0","0",2026-03-31,"T20",20,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","Gujarat Titans","Punjab Kings","Punjab Kings","NA","male"
"1st.1.3","Gujarat Titans","Shubman Gill","XC Bartlett","B Sai Sudharsan",0,0,0,0,0,0,4,0,4,"nobody","not-out","nobody","0","0","0","0",2026-03-31,"T20",20,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","Gujarat Titans","Punjab Kings","Punjab Kings","NA","male"
"1st.1.4","Gujarat Titans","Shubman Gill","XC Bartlett","B Sai Sudharsan",0,0,0,0,0,0,1,0,1,"nobody","not-out","nobody","0","0","0","0",2026-03-31,"T20",20,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","Gujarat Titans","Punjab Kings","Punjab Kings","NA","male"
"1st.1.5","Gujarat Titans","B Sai Sudharsan","XC Bartlett","Shubman Gill",0,0,0,0,0,0,1,0,1,"nobody","not-out","nobody","0","0","0","0",2026-03-31,"T20",20,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","Gujarat Titans","Punjab Kings","Punjab Kings","NA","male"
"1st.1.6","Gujarat Titans","Shubman Gill","XC Bartlett","B Sai Sudharsan",0,0,0,0,0,0,4,0,4,"nobody","not-out","nobody","0","0","0","0",2026-03-31,"T20",20,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","Gujarat Titans","Punjab Kings","Punjab Kings","NA","male"
"1st.2.1","Gujarat Titans","B Sai Sudharsan","Arshdeep Singh","Shubman Gill",0,0,0,0,0,0,4,0,4,"nobody","not-out","nobody","0","0","0","0",2026-03-31,"T20",20,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","Gujarat Titans","Punjab Kings","Punjab Kings","NA","male"
"1st.2.2","Gujarat Titans","B Sai Sudharsan","Arshdeep Singh","Shubman Gill",0,0,0,0,0,0,0,0,0,"nobody","not-out","nobody","0","0","0","0",2026-03-31,"T20",20,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","Gujarat Titans","Punjab Kings","Punjab Kings","NA","male"
"1st.2.3","Gujarat Titans","B Sai Sudharsan","Arshdeep Singh","Shubman Gill",0,0,0,0,0,0,1,0,1,"nobody","not-out","nobody","0","0","0","0",2026-03-31,"T20",20,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","Gujarat Titans","Punjab Kings","Punjab Kings","NA","male"
"1st.2.4","Gujarat Titans","Shubman Gill","Arshdeep Singh","B Sai Sudharsan",0,0,0,1,0,0,0,1,1,"nobody","not-out","nobody","0","0","0","0",2026-03-31,"T20",20,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","Gujarat Titans","Punjab Kings","Punjab Kings","NA","male"
"1st.2.5","Gujarat Titans","Shubman Gill","Arshdeep Singh","B Sai Sudharsan",0,0,0,0,0,0,4,0,4,"nobody","not-out","nobody","0","0","0","0",2026-03-31,"T20",20,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","Gujarat Titans","Punjab Kings","Punjab Kings","NA","male"
"1st.2.6","Gujarat Titans","Shubman Gill","Arshdeep Singh","B Sai Sudharsan",0,0,0,0,0,0,0,0,0,"nobody","not-out","nobody","0","0","0","0",2026-03-31,"T20",20,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","Gujarat Titans","Punjab Kings","Punjab Kings","NA","male"
